1 50 37 6 22 26 39 25 9 10 17 51 13 16 8 27 48 
43 47 31 23 14 28 19 38 2 30 34 11 0 41 36 21 15 
45 24 7 29 42 4 18 35 5 33 40 53 32 46 20 3 44 
12 52 49 
26 33 0 10 1 21 23 28 29 19 37 34 3 36 51 8 41 
6 50 25 12 24 27 35 44 2 30 20 22 15 14 32 52 49 
42 9 47 39 18 43 11 17 31 45 46 5 53 16 7 38 40 
13 4 48 
40 28 19 41 42 11 15 35 5 45 30 9 48 31 34 16 6 
38 44 37 43 47 36 22 0 14 12 18 2 7 29 53 10 4 
8 50 21 51 23 46 27 52 25 24 32 13 1 3 49 17 26 
33 39 20 
49 4 5 11 2 6 51 21 39 13 20 19 32 16 14 12 48 
24 41 50 23 27 43 26 33 10 25 37 35 18 1 52 28 46 
7 8 38 0 40 30 17 9 22 53 29 3 36 47 34 31 42 
15 45 44 
40 7 45 12 42 47 48 25 26 30 17 31 39 41 2 27 23 
15 1 21 24 52 13 22 50 0 33 32 53 49 19 28 38 34 
37 10 18 51 4 9 6 5 20 14 3 43 44 35 36 8 16 
46 29 11 
29 34 44 46 8 39 38 23 45 49 4 15 37 41 2 25 53 
36 6 16 31 52 14 32 11 19 42 5 9 17 40 3 51 1 
24 12 50 0 33 21 18 27 47 10 13 22 43 26 30 35 28 
48 7 20 
50 27 30 5 10 32 33 8 39 19 23 51 4 36 2 12 14 
20 41 24 17 37 52 15 22 18 7 0 45 26 29 9 34 31 
1 40 43 6 44 16 35 25 13 42 49 53 38 3 11 47 48 
46 28 21 
23 9 45 4 53 46 12 21 29 13 30 14 5 22 32 25 16 
0 11 27 7 38 44 28 50 24 39 18 42 48 41 26 2 43 
33 8 35 6 1 40 20 49 52 37 10 17 51 47 36 15 19 
3 34 31 
43 42 4 41 11 36 27 18 16 40 44 15 46 23 48 14 49 
24 30 50 26 22 9 12 38 13 47 20 28 1 17 33 0 5 
3 2 53 34 21 32 37 25 10 6 45 29 39 52 7 8 35 
51 19 31 
